,delay,eval time (s),verify time (s),input
0,2,0.0002079010009765625,8.654594421386719e-05,5569605067528135667763659262051675950
1,2,0.00021529197692871094,8.416175842285156e-05,76863766555928827680222482081090837745
2,2,0.00018835067749023438,8.034706115722656e-05,51706922969376299474761683054718752663
3,2,0.00021457672119140625,0.00010991096496582031,22336936729332338015876895636652685946
4,2,0.0001995563507080078,9.894371032714844e-05,36834216168507698907472518808362017284
5,2,0.00020813941955566406,9.989738464355469e-05,132740338772913706569478744558846780462
6,2,0.00023746490478515625,0.00022530555725097656,158649089475382516128133671526057541773
7,2,0.0001723766326904297,9.036064147949219e-05,170244138752966008957619821256183983268
8,2,0.00017118453979492188,0.00010800361633300781,88607680410026263690218447926565071736
9,2,0.00017023086547851562,9.894371032714844e-05,127932878752641395984217940182704396822
10,4,0.00023674964904785156,0.0001087188720703125,61100889965216372638084536662339844973
11,4,0.000255584716796875,0.00011491775512695312,155131051840696103459004951144690353856
12,4,0.0003943443298339844,0.00014972686767578125,16392884295367407737637345948633490601
13,4,0.0002288818359375,0.00010800361633300781,205344367298381453233679856247952277770
14,4,0.0002830028533935547,0.00010824203491210938,218140298733049058713720698581121832762
15,4,0.0002014636993408203,0.00010848045349121094,166344769573124417348096057141556285914
16,4,0.0002391338348388672,0.00010943412780761719,122874827792392414484426069668461214888
17,4,0.000232696533203125,0.00011730194091796875,180947335088891482801066208093471533196
18,4,0.00024080276489257812,0.00012636184692382812,119095604796672674142694433939026125341
19,4,0.0002498626708984375,0.0001163482666015625,13688783404786531579495339419195328205
20,8,0.0002491474151611328,0.00012302398681640625,171319714157246263295327557226824888933
21,8,0.0004475116729736328,0.00023555755615234375,66486014207317510101345887505754581833
22,8,0.0002655982971191406,0.0001270771026611328,147581908036137782321646439710687592334
23,8,0.0002732276916503906,0.0001556873321533203,74448528914759286625085347174603259356
24,8,0.00022745132446289062,0.00011610984802246094,154634500554265873696214835416219940973
25,8,0.0002493858337402344,0.0001163482666015625,92142674411447696524459534888611085350
26,8,0.00026106834411621094,0.00011992454528808594,177875296265833666282433302889581472277
27,8,0.0002319812774658203,0.00012373924255371094,93859917191718649974518339679014879854
28,8,0.00023651123046875,0.00011968612670898438,104135912361643379168263979535420594783
29,8,0.00024962425231933594,0.00012040138244628906,120598629486100476837073799213888367428
30,16,0.00027441978454589844,0.00014591217041015625,12795610281385541867290820205308861228
31,16,0.00034165382385253906,0.00017952919006347656,45670470207903147303945343616988776375
32,16,0.0002951622009277344,0.00013327598571777344,138333454147621602322238192874027934112
33,16,0.0003440380096435547,0.00019049644470214844,15479362458451769114243331417312032314
34,16,0.00029587745666503906,0.00013828277587890625,93753466334332332132321846243505581760
35,16,0.0002837181091308594,0.0001327991485595703,133236760887136566056658521123861749944
36,16,0.0002899169921875,0.00013566017150878906,103932049062158068844636835620089878337
37,16,0.00025200843811035156,0.0001304149627685547,62664076011479122445112317450049734649
38,16,0.0002903938293457031,0.00013875961303710938,134960068214162667948073040828574934466
39,16,0.0002605915069580078,0.00015163421630859375,105747613638180141230124640662122040191
40,32,0.0003304481506347656,0.0001552104949951172,101595673865353634040108804874998890545
41,32,0.0003299713134765625,0.0001671314239501953,171341158459245968262448395902337920491
42,32,0.0003256797790527344,0.00015473365783691406,51005804567491612618656374034288769398
43,32,0.00037169456481933594,0.00014638900756835938,2439249232819126736617952498433984642
44,32,0.00030875205993652344,0.00021719932556152344,109313875140497257321893144933344018337
45,32,0.00032258033752441406,0.00017690658569335938,37421048961681828739459137559578192469
46,32,0.00032520294189453125,0.0001533031463623047,117517454501061794777127078159523560407
47,32,0.0004010200500488281,0.00015592575073242188,107817386142174846179952159623261445489
48,32,0.0003085136413574219,0.0001506805419921875,187960498613576628853387645425171202908
49,32,0.0003197193145751953,0.00014972686767578125,94287329694009359396417937291377751729
50,64,0.0003681182861328125,0.0001666545867919922,58352147665096726256897937801893912537
51,64,0.00040149688720703125,0.000179290771484375,70531999576019172550617012161762384732
52,64,0.00043964385986328125,0.0002841949462890625,20342006922350272405648304172524018925
53,64,0.0006117820739746094,0.0002810955047607422,120109896321092809935907267377919816695
54,64,0.0005340576171875,0.00030231475830078125,70753983453580488369255455369189233479
55,64,0.0004820823669433594,0.000286102294921875,97054056526043941698597601825085471241
56,64,0.00037598609924316406,0.0001800060272216797,172216581569152633017408341303527513053
57,64,0.0003387928009033203,0.0001659393310546875,121706984595271115289295244742191502820
58,64,0.00045013427734375,0.00025844573974609375,32348163749345521516758596916101884831
59,64,0.0003478527069091797,0.00015854835510253906,139249924752948672153434520923915250285
60,128,0.0005121231079101562,0.0002040863037109375,272873622510380069005576804067223682077
61,128,0.0004680156707763672,0.00017976760864257812,117030010652244765017894808261802640597
62,128,0.0004813671112060547,0.00020575523376464844,133599384732567191135923795735770376069
63,128,0.000461578369140625,0.0003323554992675781,27486416771296317201618680690894206529
64,128,0.0006458759307861328,0.00023794174194335938,28566637902063409590859563262314996831
65,128,0.00041985511779785156,0.0001933574676513672,195570480636411280881056470757436487435
66,128,0.0004258155822753906,0.000171661376953125,107474302455029774783593984425675889504
67,128,0.00042247772216796875,0.00017070770263671875,231385322134088580371367086507144921830
68,128,0.000621795654296875,0.0004107952117919922,14190263588525676012210877563481127863
69,128,0.0004334449768066406,0.00016427040100097656,36385524909468794162739811377323209769
70,256,0.0006792545318603516,0.0002448558807373047,98525765807396080492188448553532062232
71,256,0.0005333423614501953,0.0001888275146484375,156586357623301965974651241100755277894
72,256,0.0005345344543457031,0.00020170211791992188,66788462705632752200811141932832477545
73,256,0.0006225109100341797,0.0002689361572265625,2070189696011071178672955635094275201
74,256,0.0005583763122558594,0.0002110004425048828,59888482162358509876282297788372772270
75,256,0.0005898475646972656,0.0002162456512451172,9819518881360907885640233542591367933
76,256,0.0005173683166503906,0.00018978118896484375,159184606462878023293642690132767686327
77,256,0.0005345344543457031,0.0001933574676513672,49894812710571441599799200178313984533
78,256,0.0005338191986083984,0.00019216537475585938,58999640785830618114087455568105035494
79,256,0.001230478286743164,0.0005176067352294922,11525594222786027964323374367252360463
80,512,0.0007653236389160156,0.00019979476928710938,179278873696112460065830648024124893937
81,512,0.0007750988006591797,0.00022077560424804688,206738767296321359408256050452237090414
82,512,0.0017380714416503906,0.0005660057067871094,29398051186588022004717743106093757158
83,512,0.0008304119110107422,0.00026297569274902344,153187174651649662500683726073636199834
84,512,0.0008463859558105469,0.00025272369384765625,125233062539653413555620091263942898078
85,512,0.0008034706115722656,0.00022554397583007812,8531121240034259761129529729478204340
86,512,0.0008087158203125,0.0002579689025878906,189881236976912734878343486175332690023
87,512,0.0008509159088134766,0.00027108192443847656,38290653651063264754254412161889648998
88,512,0.0007505416870117188,0.00020241737365722656,61895096717234042214950244751318612883
89,512,0.0013740062713623047,0.0004374980926513672,3214714160297323634930323204419302461
90,1024,0.0012660026550292969,0.00025725364685058594,85927091685613219008374525723373902008
91,1024,0.0010981559753417969,0.0002338886260986328,164401760354838035757590921571592296311
92,1024,0.0012073516845703125,0.00025153160095214844,4723266434112393304539568415603372670
93,1024,0.001100778579711914,0.00022339820861816406,33677986477984553306866108394701510785
94,1024,0.0014362335205078125,0.0002944469451904297,74719697611106848752529175063946324589
95,1024,0.00124359130859375,0.00025010108947753906,22411830437320415067395583660709517222
96,1024,0.001226663589477539,0.00024390220642089844,45248967465771555077524420975006321400
97,1024,0.0011696815490722656,0.00021719932556152344,144111336520441820361951353465976060489
98,1024,0.0017032623291015625,0.00031280517578125,90337941374261936021779199406623169247
99,1024,0.0011284351348876953,0.00022363662719726562,140828903754804735936147309234829136802
